state,type,count
OK,2014 State Population Millions,3.878051
OR,2014 State Population Millions,3.970239
PA,2014 State Population Millions,12.787209
RI,2014 State Population Millions,1.055173
SC,2014 State Population Millions,4.832482
SD,2014 State Population Millions,0.853175
TN,2014 State Population Millions,6.549352
TX,2014 State Population Millions,26.956958
UT,2014 State Population Millions,2.942902
VT,2014 State Population Millions,0.626562
VA,2014 State Population Millions,8.326289
WA,2014 State Population Millions,7.06153
WV,2014 State Population Millions,1.850326
WI,2014 State Population Millions,5.757564
WY,2014 State Population Millions,0.584153
AL,Proportion of U.S. Population,1.52086237665068
AK,Proportion of U.S. Population,0.231054005591772
AZ,Proportion of U.S. Population,2.11112906969824
AR,Proportion of U.S. Population,0.930313111841564
CA,Proportion of U.S. Population,12.1692461464613
CO,Proportion of U.S. Population,1.67970753640779
CT,Proportion of U.S. Population,1.12799040583251
DE,Proportion of U.S. Population,0.293427409679151
DC,Proportion of U.S. Population,0.206642126182085
FL,Proportion of U.S. Population,6.2389389306787
GA,Proportion of U.S. Population,3.16673029810574
HI,Proportion of U.S. Population,0.445202943854565
ID,Proportion of U.S. Population,0.512600856479086
IL,Proportion of U.S. Population,4.03960952333449
IN,Proportion of U.S. Population,2.06890670156598
IA,Proportion of U.S. Population,0.974457344296624
KS,Proportion of U.S. Population,0.910759522285748
KY,Proportion of U.S. Population,1.38414907776104
LA,Proportion of U.S. Population,1.45823211765463
ME,Proportion of U.S. Population,0.417142721157157
MD,Proportion of U.S. Population,1.87432170232419
MA,Proportion of U.S. Population,2.11549591676591
MI,Proportion of U.S. Population,3.10793718173199
MN,Proportion of U.S. Population,1.71147945366465
MS,Proportion of U.S. Population,0.939003526395226
MO,Proportion of U.S. Population,1.90166373486181
MT,Proportion of U.S. Population,0.321015006799787
NE,Proportion of U.S. Population,0.59007726647266
NV,Proportion of U.S. Population,0.890398674445517
NH,Proportion of U.S. Population,0.416115301522448
NJ,Proportion of U.S. Population,2.80319184782287
NM,Proportion of U.S. Population,0.654077418314996
NY,Proportion of U.S. Population,6.19281481417178
NC,Proportion of U.S. Population,3.11862755202758
ND,Proportion of U.S. Population,0.231916461023839
OH,Proportion of U.S. Population,3.63616322167887
OK,Proportion of U.S. Population,1.21623496392064
OR,Proportion of U.S. Population,1.24514697896477
PA,Proportion of U.S. Population,4.01032649564449
RI,Proportion of U.S. Population,0.330923522043683
SC,Proportion of U.S. Population,1.51556376409622
SD,Proportion of U.S. Population,0.267572877546734
TN,Proportion of U.S. Population,2.05400880324254
TX,Proportion of U.S. Population,8.45424540330699
UT,Proportion of U.S. Population,0.922953387614543
VT,Proportion of U.S. Population,0.196502472882394
VA,Proportion of U.S. Population,2.6112920643663
WA,Proportion of U.S. Population,2.21463814807347
WV,Proportion of U.S. Population,0.580299530834281
WI,Proportion of U.S. Population,1.80568812628064
WY,Proportion of U.S. Population,0.183202155639297
AL,Player to Population Ratio,1.60861575510593
AK,Player to Population Ratio,0.132354510267104
AZ,Player to Population Ratio,0.173827589384042
AR,Player to Population Ratio,1.47922970392917
CA,Player to Population Ratio,0.899645886084691
