season.id,player.id,game.id,game.date,matchup,wl,min,fgm,fga,fg.pct,fg3m,fg3a,fg3.pct,ftm,fta,ft.pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus.minus,video.available,win,location.home,id.team.player,id.team.opponent,id.season,season
22013,201939,0021300225,2013-11-27T00:00:00Z,GSW @ DAL,L,42,9,19,0.474,6,10,0.6,5,5,1,0,4,4,8,1,0,6,3,29,-3,1,FALSE,FALSE,GSW,DAL,2013-14,2014
22013,201939,0021300235,2013-11-29T00:00:00Z,GSW @ OKC,L,45,13,26,0.5,4,10,0.4,2,3,0.667,2,9,11,5,0,0,3,4,32,7,1,FALSE,FALSE,GSW,OKC,2013-14,2014
22013,201939,0021300251,2013-12-01T00:00:00Z,GSW @ SAC,W,40,14,24,0.583,5,8,0.625,3,3,1,0,2,2,10,3,1,7,1,36,1,1,TRUE,FALSE,GSW,SAC,2013-14,2014
22013,201939,0021300268,2013-12-03T00:00:00Z,GSW vs. TOR,W,43,8,15,0.533,3,7,0.429,8,10,0.8,0,3,3,10,5,1,3,1,27,16,1,TRUE,TRUE,GSW,TOR,2013-14,2014
22013,201939,0021300285,2013-12-06T00:00:00Z,GSW @ HOU,L,32,5,14,0.357,1,5,0.2,11,11,1,0,1,1,5,3,0,8,4,22,-12,1,FALSE,FALSE,GSW,HOU,2013-14,2014
22013,201939,0021300293,2013-12-07T00:00:00Z,GSW @ MEM,W,45,7,16,0.438,2,7,0.286,6,7,0.857,1,5,6,15,0,1,1,4,22,21,1,TRUE,FALSE,GSW,MEM,2013-14,2014
22013,201939,0021300304,2013-12-09T00:00:00Z,GSW @ CHA,L,46,14,32,0.438,5,16,0.313,10,12,0.833,1,5,6,9,0,2,4,4,43,3,1,FALSE,FALSE,GSW,CHA,2013-14,2014
22013,201939,0021300326,2013-12-11T00:00:00Z,GSW vs. DAL,W,44,13,25,0.52,6,11,0.545,1,1,1,0,4,4,10,3,0,8,3,33,5,1,TRUE,TRUE,GSW,DAL,2013-14,2014
22013,201939,0021300341,2013-12-13T00:00:00Z,GSW vs. HOU,L,39,5,12,0.417,1,5,0.2,9,11,0.818,0,2,2,9,0,0,6,6,20,-18,1,FALSE,TRUE,GSW,HOU,2013-14,2014
22013,201939,0021300355,2013-12-15T00:00:00Z,GSW @ PHX,L,42,8,17,0.471,4,7,0.571,10,11,0.909,0,6,6,7,3,0,6,2,30,-4,1,FALSE,FALSE,GSW,PHX,2013-14,2014
22013,201939,0021300368,2013-12-17T00:00:00Z,GSW vs. NOP,W,33,11,19,0.579,2,7,0.286,4,4,1,1,3,4,11,3,0,3,3,28,22,1,TRUE,TRUE,GSW,NOP,2013-14,2014
22013,201939,0021300382,2013-12-19T00:00:00Z,GSW vs. SAS,L,40,12,28,0.429,6,16,0.375,0,0,0,0,2,2,15,4,0,5,1,30,-5,1,FALSE,TRUE,GSW,SAS,2013-14,2014
22013,201939,0021300402,2013-12-21T00:00:00Z,GSW vs. LAL,W,33,5,15,0.333,4,9,0.444,4,4,1,1,5,6,10,3,0,1,2,18,26,1,TRUE,TRUE,GSW,LAL,2013-14,2014
22013,201939,0021300415,2013-12-23T00:00:00Z,GSW @ DEN,W,35,5,14,0.357,2,3,0.667,2,4,0.5,0,3,3,7,2,1,2,4,14,8,1,TRUE,FALSE,GSW,DEN,2013-14,2014
22013,201939,0021300422,2013-12-25T00:00:00Z,GSW vs. LAC,W,42,5,17,0.294,2,6,0.333,3,3,1,1,5,6,11,1,0,2,1,15,8,1,TRUE,TRUE,GSW,LAC,2013-14,2014
22013,201939,0021300435,2013-12-27T00:00:00Z,GSW vs. PHX,W,34,5,17,0.294,1,6,0.167,3,5,0.6,3,10,13,16,1,0,7,3,14,27,1,TRUE,TRUE,GSW,PHX,2013-14,2014
22013,201939,0021300448,2013-12-29T00:00:00Z,GSW @ CLE,W,48,10,23,0.435,5,10,0.5,4,5,0.8,0,9,9,11,2,1,5,3,29,2,1,TRUE,FALSE,GSW,CLE,2013-14,2014
22013,201939,0021300462,2013-12-31T00:00:00Z,GSW @ ORL,W,30,4,10,0.4,1,5,0.2,0,0,0,0,5,5,8,0,0,6,1,9,21,1,TRUE,FALSE,GSW,ORL,2013-14,2014
22013,201939,0021300474,2014-01-02T00:00:00Z,GSW @ MIA,W,44,13,22,0.591,8,15,0.533,2,3,0.667,0,2,2,12,2,0,4,4,36,16,1,TRUE,FALSE,GSW,MIA,2013-14,2014
22013,201939,0021300483,2014-01-03T00:00:00Z,GSW @ ATL,W,35,7,15,0.467,1,7,0.143,7,8,0.875,0,8,8,9,5,0,9,5,22,12,1,TRUE,FALSE,GSW,ATL,2013-14,2014
22013,201939,0021300501,2014-01-05T00:00:00Z,GSW @ WAS,W,38,5,17,0.294,1,5,0.2,3,3,1,1,2,3,10,1,1,2,5,14,35,1,TRUE,FALSE,GSW,WAS,2013-14,2014
22013,201939,0021300515,2014-01-07T00:00:00Z,GSW @ MIL,W,36,5,18,0.278,2,11,0.182,3,4,0.75,0,0,0,6,1,0,7,2,15,11,1,TRUE,FALSE,GSW,MIL,2013-14,2014
22013,201939,0021300523,2014-01-08T00:00:00Z,GSW @ BKN,L,45,11,25,0.44,2,10,0.2,10,10,1,0,5,5,7,3,0,7,5,34,1,1,FALSE,FALSE,GSW,BKN,2013-14,2014
22013,201939,0021300541,2014-01-10T00:00:00Z,GSW vs. BOS,W,40,7,18,0.389,3,8,0.375,2,3,0.667,1,6,7,4,1,0,4,1,19,5,1,TRUE,TRUE,GSW,BOS,2013-14,2014
22013,201939,0021300576,2014-01-15T00:00:00Z,GSW vs. DEN,L,40,7,19,0.368,4,13,0.308,6,7,0.857,0,5,5,7,0,0,2,4,24,4,1,FALSE,TRUE,GSW,DEN,2013-14,2014
22013,201939,0021300592,2014-01-17T00:00:00Z,GSW @ OKC,L,38,11,18,0.611,6,10,0.6,9,11,0.818,2,1,3,11,3,0,7,2,37,-10,1,FALSE,FALSE,GSW,OKC,2013-14,2014
22013,201939,0021300599,2014-01-18T00:00:00Z,GSW @ NOP,W,38,10,22,0.455,2,9,0.222,6,6,1,1,5,6,8,4,0,0,2,28,15,1,TRUE,FALSE,GSW,NOP,2013-14,2014
22013,201939,0021300615,2014-01-20T00:00:00Z,GSW vs. IND,L,41,9,20,0.45,3,11,0.273,3,4,0.75,0,3,3,9,0,0,2,2,24,-4,1,FALSE,TRUE,GSW,IND,2013-14,2014
22013,201939,0021300645,2014-01-24T00:00:00Z,GSW vs. MIN,L,37,12,21,0.571,6,10,0.6,3,3,1,1,2,3,15,1,0,5,3,33,-3,1,FALSE,TRUE,GSW,MIN,2013-14,2014
