year.draft,mean,max,min,se,upper.mean,lower.mean
2006,315.3,355,285,2.81620767008146,321.216852314841,309.383147685159
2007,307.78125,326,282,1.75214981718312,311.462516765902,304.099983234098
2008,311.6,343,289,2.16167076883149,316.141670285315,307.058329714685
2009,309.634146341463,364,232,3.10796696500496,316.163984934939,303.104307747988
2010,312.555555555556,349,274,2.51643626963175,317.842588158052,307.268522953059
2011,309.875,363,280,2.18684514007432,314.469561639296,305.280438360704
2012,313,345,220,2.73215052012997,318.740248242793,307.259751757207
2013,310.393939393939,339,298,1.54842258073227,313.647175236058,307.140703551821
2014,311,336,280,1.74360807901099,314.663320574002,307.336679425998
2015,316.717391304348,376,290,2.65280146214592,322.290927176316,311.143855432379
