Year,Date,Bikini,Color,Swimsuit_Photo_Pages,Issue_Pages,Note,Model,shoot_location,si_location,Photographer,Magazine_URL,Photos_URL,Cover_URL
1998,"Friday, February 20, 98",FALSE,"Pink,Black",98,224,,Heidi Klum,"Vabbinfaru, Maldives","Vabbinfaru, Maldives",Robert Erdmann,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19980220&mode=reader_vault,http://sportsillustrated.cnn.com/vault/swimsuit/year/1998/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/1998/0220_large.jpg
1999,"Friday, February 12, 99",TRUE,Silver,96,210,,Rebecca Romijn-Stamos,"Necker Island, British Virgin Islands ","Necker Is., British Virgin Islands ",Antoine Verglas,http://sportsillustrated.cnn.com/vault/edb/reader.html?magID=SI&issueDate=19990212&mode=reader_vault,http://sportsillustrated.cnn.com/vault/swimsuit/year/1999/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/1999/0212_large.jpg
2000,"Tuesday, February 1, 00",TRUE,Silver,,,,Daniela Pestova,"Pangkor Laut, Malaysia ","Pangkor Laut, Malaysia ",,,http://sportsillustrated.cnn.com/vault/swimsuit/year/2000/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2000/0201_large.jpg
2001,"Thursday, February 1, 01",TRUE,Orange,,,,Elsa Benitez,"Tamerza, Tunisia","Tamerza Village, Tunisia ",,,http://sportsillustrated.cnn.com/vault/swimsuit/year/2001/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2001/0201_large.jpg
2002,"Friday, February 1, 02",TRUE,Red,,,,Yamila Diaz-Rahi,"Cruz de Loreto, Mexico ","Cruz de Loreto, Mexico ",Jeff Bark,,http://sportsillustrated.cnn.com/vault/swimsuit/year/2002/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2002/0201_large.jpg
2003,"Tuesday, February 18, 03",TRUE,Red,,,,Petra Nemcova,"St. James, Barbados","St. James, Barbados","Walter Iooss, Jr.",,http://sportsillustrated.cnn.com/vault/swimsuit/year/2001/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2003/0218_large.jpg
2004,"Tuesday, February 10, 04",TRUE,Black,,,,Veronica Varekova,"Montauk, NY ","Montauk, NY ","Walter Iooss, Jr.",,http://sportsillustrated.cnn.com/vault/swimsuit/year/2004/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2004/0210_large.jpg
2005,"Tuesday, February 15, 05",TRUE,Red,,,,Carolyn Murphy,"Andros Island, Bahamas ","Andros Island, Bahamas ",Jeff Olson,,http://sportsillustrated.cnn.com/vault/swimsuit/year/2005/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2005/0218_large.jpg
2006,"Friday, February 17, 06",TRUE,White,,,,"Elsa Benitez, Yamila Diaz-Rahi, 
Rachel Hunter, Elle Macpherson, Carolyn Murphy, Daniela Pestova,
Rebecca Romijn & Veronica Varekova","Harbour Island, Bahamas ","Harbour Island, Bahamas ",Raphael Mazzucco,,http://sportsillustrated.cnn.com/vault/swimsuit/year/2006/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2006/0217_large.jpg
2007,"Thursday, February 15, 07",TRUE,Yellow,,,,Beyonc_ Knowles,"Key Biscayne, Florida ","Key Biscayne, Florida ",Cliff Watts,,http://sportsillustrated.cnn.com/vault/swimsuit/year/2007/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2007/0215_large.jpg
2008,"Tuesday, February 12, 08",TRUE,Blue,,,,Marisa Miller,"St. John, U.S. Virgin Islands","St. John, U.S. Virgin Islands",Raphael Mazzucco,,http://sportsillustrated.cnn.com/vault/swimsuit/year/2008/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2008/0215_large.jpg
2009,"Tuesday, February 10, 09",TRUE,"Yellow,Pink",,,,Bar Refaeli,"Canouan Island, the Grenadines","Canouan Island, the Grenadines",Raphael Mazzucco,,http://sportsillustrated.cnn.com/vault/swimsuit/year/2009/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2009/0213_large.jpg
2010,"Friday, February 12, 10",TRUE,Yellow,,,,Brooklyn Decker,Maldive Islands,The Maldives ,"Walter Iooss, Jr.",,http://sportsillustrated.cnn.com/vault/swimsuit/year/2010/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2010/0212_large.jpg
2011,"Tuesday, February 15, 11",TRUE,"Yellow,Pink",,,,Irina Shayk ,"Maui, Hawaii","Maui, Hawaii",Bjorn Iooss,,http://sportsillustrated.cnn.com/vault/swimsuit/year/2011/index.htm,http://i.cdn.turner.com/sivault/si_online/covers/images/2011/0222_large.jpg
2012,"Tuesday, February 14, 12",TRUE,"Red,Black",,,,Kate Upton,Australia ,Australia ,"Walter Iooss, Jr.",,http://sportsillustrated.cnn.com/vault/swimsuit/year/2012/index.htm,http://i.cdn.turner.com/si/2012_swimsuit/images/cover.jpg
2013,"Tuesday, February 12, 13",TRUE,White,,,,Kate Upton,Antarctica,Antarctica,Derek Kettela,,http://sportsillustrated.cnn.com/2013_swimsuit/,http://i.cdn.turner.com/si/2013_swimsuit/img/swimsuit-2013-cover-kate-upton.jpg
2014,"Tuesday, February 12, 14",TRUE,"Pink,Orange",,,,"Chrissy Teigen, Nina Agdal and Lily Aldridge","Araura, Ararau","Araura, Ararau",James Macari,,http://cdn-jpg.si.com/sites/default/files/2014/02/cov-2014-3001.jpg,
2015,"Tuesday, February 12, 2015",TRUE,Silver,,,,Hannah Davis,"St. John, U.S. Virgin Islands","St. John, U.S. Virgin Islands","Walter Iooss, Jr.",,http://static6.businessinsider.com/image/54d2fe6369bedd8e48cf6df9-1200-1715/hanna%20davis%20sports%20illustrated%20cover%202015.jpg,
